Unnamed: 0,Employee ID,Full_Name,StartDate,ExitDate,Domain,Supervisor,Emails,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance_Score,CurrentEmployee_Rating,Survey_Date,Engagement_Score,Satisfaction_Score,WorkLifeBalance_Score,Training_Date,Trainingprogram_Name,Training_type,Training_outcome,Location,Trainer,Trainingduration,Training_cost,status
0,3427,Uriah Bridges,20-09-2019,22-05-2022,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unk,Production       ,Finance & Accounting,07-10-1969,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4,14-01-2023,1,2,3,15-07-2023,Leadership Development,Internal,Failed,South Marisa,Taylor Rodriguez,2,606.11,Valid
1,3428,Paula Small,11-02-2023,22-05-2022,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,Unk,Production       ,Aerial,30-08-1965,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3,09-09-2022,2,1,5,12-09-2022,Customer Service,External,Incomplete,Tammieville,Kelly Patterson DDS,4,673.02,Invalid
2,3429,Edward Buck,10-12-2018,22-05-2022,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Unk,Sales,General - Sga,06-10-1991,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4,27-05-2023,1,2,1,13-08-2022,Leadership Development,External,Failed,East Roberthaven,Taylor Thomas,2,413.28,Valid
3,3430,Michael Riordan,21-06-2021,22-05-2022,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Unk,Sales,Finance & Accounting,04-04-1998,ND,Clerk,Male,58782,Other,Single,Fully Meets,2,16-06-2023,5,5,4,15-12-2022,Project Management,External,Completed,Garzatown,Holly Elliott,3,663.78,Valid
4,3431,Jasmine Onque,29-06-2019,22-05-2022,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unk,Sales,General - Con,29-08-1969,FL,Laborer,Female,33174,Other,Married,Fully Meets,3,25-11-2022,2,5,3,13-07-2023,Technical Skills,External,Failed,Lake Meganville,Donald Martinez,5,399.03,Valid
5,3432,Maruk Fraval,17-01-2020,22-05-2022,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unk,Sales,Field Operations,03-04-1949,CT,Driver,Male,6050,Black,Married,Fully Meets,3,12-12-2022,2,3,5,18-04-2023,Project Management,Internal,Passed,Kingchester,Holly Sloan,2,820.33,Valid
6,3433,Latia Costa,06-04-2022,03-07-2023,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Sales,General - Eng,01-07-1942,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4,25-03-2023,1,5,2,06-08-2022,Customer Service,External,Passed,Lancehaven,David Stewart,5,295.08,Valid
7,3434,Sharlene Terry,06-11-2020,29-01-2023,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Sales,Engineers,07-03-1957,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2,21-04-2023,1,4,2,07-10-2022,Leadership Development,Internal,Passed,Jeremyshire,Stephanie Garza,3,790.15,Valid
8,3435,Jac McKinzie,18-08-2018,22-05-2022,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Unk,Sales,Executive,15-05-1974,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3,09-12-2022,4,3,3,19-07-2023,Customer Service,Internal,Passed,West Randall,John Brown,3,798.4,Valid
9,3436,Joseph Martins,21-01-2022,29-06-2023,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Sales,Engineers,11-11-1949,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5,30-07-2023,5,5,2,09-04-2023,Leadership Development,Internal,Failed,Nicolebury,Megan Wilson,5,192.61,Valid
